num	title	query	overlap	readme_overlap	score	repo	url	description	strict_reasons	readme_reasons	title_hits	readme_url
136	FastTraffic: A lightweight method for encrypted traffic fast classification	FastTraffic	0.00	0.67	96	sofiasaade/fasttraffic-solutions	https://github.com/sofiasaade/fasttraffic-solutions	field opperations app 		readme_title_overlap_0.67	fasttraffic,fast	https://raw.githubusercontent.com/sofiasaade/fasttraffic-solutions/HEAD/README.md
152	TFE-GNN: A Temporal Fusion Encoder Using Graph Neural Networks for Fine-grained Encrypted Traffic Classification	TFE-GNN	1.00	0.00	108	ViktorAxelsen/TFE-GNN	https://github.com/ViktorAxelsen/TFE-GNN	[WWW'23] TFE-GNN: A Temporal Fusion Encoder Using Graph Neural Networks for Fine-grained Encrypted Traffic Classification	title_overlap_1.00_method_match		temporal,fusion,encoder,networks,fine,grained	
176	ARISE: Graph Anomaly Detection on Attributed Networks via Substructure Awareness	ARISE	1.00	0.00	113	FelixDJC/ARISE	https://github.com/FelixDJC/ARISE	An official source code for paper "ARISE: Graph Anomaly Detection on Attributed Networks via Substructure Awareness", accepted by IEEE TNNLS.	title_overlap_1.00_method_match		arise,attributed,networks,substructure,awareness	
211	ECNet: Robust Malicious Network Traffic Detection With Multi-View Feature and Confidence Mechanism	ECNet	0.00	1.00	100	Shining20183/ECNet	https://github.com/Shining20183/ECNet			title_string_in_readme;readme_title_overlap_1.00	ecnet,malicious,view,feature,confidence,mechanism	https://raw.githubusercontent.com/Shining20183/ECNet/HEAD/README.md
211	ECNet: Robust Malicious Network Traffic Detection With Multi-View Feature and Confidence Mechanism	ECNet	0.00	0.50	100	Yizhou-Li-CV/ECNet	https://github.com/Yizhou-Li-CV/ECNet			partial_readme_title_overlap_0.50	ecnet,view,feature	https://raw.githubusercontent.com/Yizhou-Li-CV/ECNet/HEAD/README.md
211	ECNet: Robust Malicious Network Traffic Detection With Multi-View Feature and Confidence Mechanism	ECNet	0.00	0.50	100	ecrl/ecnet	https://github.com/ecrl/ecnet	QSPR-based machine learning for fuel property prediction		partial_readme_title_overlap_0.50	ecnet,view,feature	https://raw.githubusercontent.com/ecrl/ecnet/HEAD/README.md
211	ECNet: Robust Malicious Network Traffic Detection With Multi-View Feature and Confidence Mechanism	ECNet	0.00	0.50	100	luoyunan/ECNet	https://github.com/luoyunan/ECNet	An evolutionary context-integrated deep learning framework for protein engineering		partial_readme_title_overlap_0.50	ecnet,view,feature	https://raw.githubusercontent.com/luoyunan/ECNet/HEAD/README.md
319	UAC-AD: Unsupervised Adversarial Contrastive Learning for Anomaly Detection on Multi-Modal Data in Microservice Systems	UAC-AD	0.50	0.00	113	lhysgithub/UAC-AD	https://github.com/lhysgithub/UAC-AD	Source code for the paper "UAC-AD: Unsupervised Adversarial Contrastive Learning for Anomaly Detection on Multi-source Data"	partial_title_overlap_0.50_strong_code_desc		unsupervised,adversarial,contrastive	
426	FALL: Prior Failure Detection in Large Scale System Based on Language Model	FALL	0.00	0.50	95	matklad/fall	https://github.com/matklad/fall			partial_readme_title_overlap_0.50	fall,large,language	https://raw.githubusercontent.com/matklad/fall/HEAD/README.md
430	FeCoGraph: Label-Aware Federated Graph Contrastive Learning for Few-Shot Network Intrusion Detection	FeCoGraph	1.00	0.00	113	MaoPopovich/FeCoGraph	https://github.com/MaoPopovich/FeCoGraph	The Official Implementation of "FeCoGraph: Label-Aware Federated Graph Contrastive Learning for Few-Shot Network Intrusion Detection" (TIFS 2025)	title_overlap_1.00_method_match		fecograph,label,aware,federated,contrastive,shot	
444	FIR-GNN: A Graph Neural Network Using Flow Interaction Relationships for Intrusion Detection of Consumer Electronics in Smart Home Network	FIR-GNN	0.00	1.00	100	Hafizh28/FIR-GNN	https://github.com/Hafizh28/FIR-GNN			doi_in_readme;title_string_in_readme;readme_title_overlap_1.00	flow,interaction,relationships,consumer,electronics,smart,home	https://raw.githubusercontent.com/Hafizh28/FIR-GNN/HEAD/README.md
444	FIR-GNN: A Graph Neural Network Using Flow Interaction Relationships for Intrusion Detection of Consumer Electronics in Smart Home Network	FIR-GNN	0.00	1.00	100	MengyiFu/FIR-GNN	https://github.com/MengyiFu/FIR-GNN			doi_in_readme;title_string_in_readme;readme_title_overlap_1.00	flow,interaction,relationships,consumer,electronics,smart,home	https://raw.githubusercontent.com/MengyiFu/FIR-GNN/HEAD/README.md
