num	title	score	repo	url
502	Normalizing-Flow-Based Anomaly Scoring for Intelligent Network Intrusion Detection	0.0	trinity-packet	https://github.com/SRI-CSL/trinity-packet
505	Overcoming the Identity Mapping Problem in Self-Supervised Hyperspectral Anomaly Detection	0.0	Super-AD	https://github.com/yc-cui/Super-AD
509	Privacy-Preserving Lightweight Time-Series Anomaly Detection for Resource-Limited Industrial IoT Edge Devices	0.0	PPLAD	https://github.com/infogroup502/PPLAD
522	Revolutionizing Encrypted Traffic Classification with MH-Net: A Multi-View Heterogeneous Graph Model	0.5	MH-Net	https://github.com/ViktorAxelsen/MH-Net
527	Robustness Matters: Pre-Training Can Enhance the Performance of Encrypted Traffic Analysis	0.0	BERT-ps	https://github.com/Shangshu-LAB/BERT-ps
537	Self-Calibrated CLIP for Training-Free Open-Vocabulary Segmentation	0.0	SCCLIP	https://github.com/SuleBai/SCCLIP
538	Self-Supervised Adaptation Method to Concept Drift for Network Intrusion Detection	0.0	ReCDA	https://github.com/kalendsyang/ReCDA
540	Self-Supervised Anomaly Detection With Neural Transformations	0.0	NeuTraL-AD	https://github.com/boschresearch/NeuTraL-AD
547	SnifferDog: Comprehensively Learning Heterogeneous Features of Network Traffic to Identify Malicious Flows	1.0	SnifferDog	https://github.com/ciat-gzhu/SnifferDog
557	TeRed: Normal Behavior-Based Efficient Provenance Graph Reduction for Large-Scale Attack Forensics	1.0	TeRed	https://github.com/THSS-GAD/TeRed
559	The Sweet Danger of Sugar: Debunking Representation Learning for Encrypted Traffic Classification	0.4	Debunk_Traffic_Representation	https://github.com/SmartData-Polito/Debunk_Traffic_Representation
566	TrafficFormer: An Efficient Pre-trained Model for Traffic Data	1.0	TrafficFormer	https://github.com/IDP-code/TrafficFormer
567	TrafficLLM: Enhancing Large Language Models for Network Traffic Analysis with Generic Traffic Representation	1.0	TrafficLLM	https://github.com/ZGC-LLM-Safety/TrafficLLM
568	Training Robust Classifiers for Classifying Encrypted Traffic under Dynamic Network Conditions	0.25	MAML-Training-ETC	https://github.com/XXnormal/MAML-Training-ETC
572	VarAD: Lightweight High-Resolution Image Anomaly Detection via Visual Autoregressive Modeling	1.0	VarAD	https://github.com/caoyunkang/VarAD
586	A Novel Contrastive Loss for Zero-Day Network Intrusion Detection	0.0	CLOSR	https://github.com/jackwilkie/CLOSR
594	Adapting Large Language Models for Encrypted Traffic Analysis Services: An Efficient Realization With Mixture of LoRA Experts	0.0	TrafficLLM	https://github.com/yiliucs/TrafficLLM
596	Adaptive Graph Filtering Neural Network for Graph Anomaly Detection	0.0	AGFNN	https://github.com/TFboys-lzz/AGFNN
601	Advancing Pre-Trained Teacher: Towards Robust Feature Discrepancy for Anomaly Detection	0.0	AAND	https://github.com/Hui-design/AAND
610	Ano2Rule: Rule-Based Global Interpretation for Unsupervised Anomaly Detection in Security	0.0	UADRule-Extraction	https://github.com/Ruoyu-Li/UADRule-Extraction
613	AUCp: Pseudo-AUC for Inference Model Selection with Unlabeled Validation Data in Abnormality Detection	1.0	AUCp	https://github.com/mahfuzmohammad/AUCp
630	Clustering Diffusion Model With Frequency-Signal Modulation for Variational Graph Autoencoders	0.0	FVD	https://github.com/Roiko97/FVD
632	Comparative Analysis of Deep Learning Models for Real-World ISP Network Traffic Forecasting	0.5	isp-forecasting-benchmark	https://github.com/koumajos/isp-forecasting-benchmark
633	Contextual Masking Distillation for Network Traffic Anomaly Detection	0.0	ConMD	https://github.com/ikun0124/ConMD
637	DAIR-FedMoE: Hierarchical MoE for Federated Encrypted Traffic Classification under Compound Drift	0.0	DairFM	https://github.com/dairfedmoe/DairFM
641	Decompose to Understand, Fuse to Detect: Frequency-Decoupled Anomaly Detection for Encrypted Network Traffic	0.0	FreeUp	https://github.com/ikun0124/FreeUp
646	Disentangled Graph Prompting for Out-Of-Distribution Detection	0.0	DGP	https://github.com/BUPT-GAMMA/DGP
648	Divergence-Regularized Federated GANs for Effective Cyber-Attack Detection on Non-IID and Unlabeled Edge Activity Data	0.0	FedGAD	https://github.com/TII-25-8978/FedGAD
650	DSecO: Domain Name System (DNS) Data as a Knowledge Graph for Enhanced Security Analysis	0.667	dns-graph	https://github.com/abhisek/dns-graph
651	Dual-Masked and Discriminative Reconstruction for Unified Vision Anomaly Detection	0.0	D2Rec	https://github.com/gaobb/D2Rec
654	Early-Stage Detection of Encrypted Malware Traffic via Multi-Flow Temporal Graph Learning	0.0	DawnGuard	https://github.com/jiajizhe1997/DawnGuard
667	Enhancing Intrusion Detection via Interpretable Inter-Flow Spatio-Temporal Graphs and Intra-Flow Features	0.0	IF2STG	https://github.com/Akap-vv/IF2STG
668	Enhancing Trust Management System for Connected Autonomous Vehicles Using Machine Learning Methods: A Survey	0.25	ML-based-TMSCAV-Survey	https://github.com/octoberzzzzz/ML-based-TMSCAV-Survey
668	Enhancing Trust Management System for Connected Autonomous Vehicles Using Machine Learning Methods: A Survey	0.25	ML-TMS-CAV-Survey	https://github.com/octoberzzzzz/ML-TMS-CAV-Survey
669	Enhancing Website Fingerprinting Attacks against Traffic Drift	0.0	Adaptive-WF-Attack	https://github.com/Xinhao-Deng/Adaptive-WF-Attack
683	FedScope—Federated Host Embeddings From Telescope Traffic: Design and Implementation	1.0	fedscope	https://github.com/SmartData-Polito/fedscope
685	Fine-Grained Detection and Analysis of Unknown Encrypted Malicious Traffic From Mixed Noisy Labels	0.0	Sieve	https://github.com/niebikong/Sieve
696	Hardware-Aware Neural Architecture Search for Encrypted Traffic Classification on Resource-Constrained Devices	0.0	ProtectIT	https://github.com/SEAlab-unige/ProtectIT
701	Hierarchical Graph Neural Networks for Resilient Intrusion Detection in Consumer IoT With Limited Labeled Data	0.0	HierGNN	https://github.com/guolong-zheng/HierGNN
703	HKD-Net: Hierarchical Knowledge Distillation Based on Multi-Domain Feature Fusion for Efficient Network Intrusion Detection	0.667	HKD-Net	https://github.com/lzp8341/HKD-Net
709	ICAD: Rethinking the Role of Inference and Cues for the Anomaly Detection of Time Series in IIoT	1.0	ICAD	https://github.com/Anomaly-Detection3/ICAD
715	LaGraph: Laplacian-Guided Graph Learning for Time Series Anomaly Detection	1.0	LaGraph	https://github.com/hit-zsc/LaGraph
716	Large Language Model-Based Task Offloading and Resource Allocation for Digital Twin Edge Computing Networks	0.667	-LLMBased-Task-Offloading-and-Resource-Allocation-for-DTECN	https://github.com/qiongwu86/-LLMBased-Task-Offloading-and-Resource-Allocation-for-DTECN
733	MAD-MulW: A Multi-Window Anomaly Detection Framework for BGP Security Events	0.667	MAD-MulW	https://github.com/2024ChenYP/MAD-MulW
739	Memory Augment Is All You Need for Image Restoration	0.0	MemoryNet	https://github.com/zhangbaijin/MemoryNet
745	MT-KD: Multi-Teacher Knowledge Distillation for Privacy-Aware Unlearning in IIoT Intrusion Detection Systems	0.0	MT-KD	https://github.com/NJS-HZ/MT-KD
757	Multivariate Time Series Anomaly Detection Using Learnable Spatial-Temporal Graph Ordinary Differential Equations Network	0.0	MAD-ODE	https://github.com/AIOps-tech/MAD-ODE
769	OIPR: Evaluation for Time-Series Anomaly Detection Inspired by Operator Interest	1.0	OIPR	https://github.com/weatherjyh/OIPR
793	Robust Malicious Network Traffic Detection Framework With Automated Drift Detection, Identification, and Adaptation	0.0	Argus	https://github.com/Argusaaa/Argus
796	Saliency-Guided Transformer Attention With Pixel-Level Contrastive Learning for Weakly Supervised Defect Localization	0.0	STAC	https://github.com/djene-mengistu/STAC
801	Securing IoT: Unveiling Attacks With Multiview-Multitask Learning	0.0	MVMTL	https://github.com/3Clinton/MVMTL
805	Silent-App-Aware Federated Machine Unlearning for Encrypted Network Traffic Classification	0.0	FedUnSilApps	https://github.com/sailorlee97/FedUnSilApps
812	StatGraph: Effective In-Vehicle Intrusion Detection via Multi-View Statistical Graph Learning	1.0	StatGraph	https://github.com/wangkai-tech23/StatGraph
820	TIME-VAD: Text-Informed Magnitude Enhancement Feature Learning for Vehicle Accident Detection and Anticipation	0.667	TIME-VAD	https://github.com/sumitmishra209/TIME-VAD
821	Time Will Tell: Criss-Cross Transformer for Encrypted Traffic Analysis	0.5	Criss-cross_	https://github.com/Amanda-HuaDing/Criss-cross_
829	TraceCluster: A Lightweight and Adaptive Clustering-Based Subgraph Attention Network for APT Detection in Provenance Graphs	1.0	TraceCluster	https://github.com/CSNS-Lab/TraceCluster
835	UniNet: A Unified Multi-Granular Traffic Modeling Framework for Network Security	1.0	UniNet	https://github.com/Binghui99/UniNet
844	When Unknown Threat Meets Label Noise: A Self-Correcting Framework	0.0	AEGIS-Net	https://github.com/niebikong/AEGIS-Net
